Atlanti's Project Engine Memory Tracker - 0.1A
----------------------------------------------

Logging...


Reporting Leaks...
[inc/Array.h]{reserve}(186) 1 bytes leak in adress 0x3ddb00.
[inc/Array.h]{reserve}(186) 1 bytes leak in adress 0x3ddb10.
[inc/Array.h]{reserve}(186) 1 bytes leak in adress 0x3ddb20.
[inc/Array.h]{reserve}(186) 5 bytes leak in adress 0x3ddb30.
[inc/Array.h]{reserve}(186) 1 bytes leak in adress 0x3ddb40.
[inc/Array.h]{reserve}(186) 1 bytes leak in adress 0x3ddb50.
[inc/List.h]{Node}(40) 4 bytes leak in adress 0x3ddb60.
[inc/Array.h]{reserve}(186) 1 bytes leak in adress 0x3ddb70.
[inc/Array.h]{reserve}(186) 1 bytes leak in adress 0x3ddb80.
[inc/Array.h]{reserve}(186) 1 bytes leak in adress 0x3ddb90.
[inc/Array.h]{reserve}(186) 1 bytes leak in adress 0x3ddba0.
[inc/Array.h]{reserve}(186) 1 bytes leak in adress 0x3ddbb0.
[inc/Array.h]{reserve}(186) 1 bytes leak in adress 0x3ddbc0.
[inc/Array.h]{reserve}(186) 1 bytes leak in adress 0x3ddbd0.
[inc/List.h]{Node}(40) 4 bytes leak in adress 0x3ddbe0.
[inc/Array.h]{reserve}(186) 1 bytes leak in adress 0x3ddbf0.
[inc/Variant.h]{clone}(68) 8 bytes leak in adress 0x3ddc24.
[inc/Map.h]{Pair}(38) 12 bytes leak in adress 0x3ddc54.
[inc/Map.h]{Pair}(38) 12 bytes leak in adress 0x3ddcb4.
[inc/Map.h]{Pair}(38) 12 bytes leak in adress 0x3ddd2c.
[inc/Map.h]{Pair}(38) 12 bytes leak in adress 0x3dddbc.
[inc/Map.h]{push}(137) 8 bytes leak in adress 0x3dde4c.
[inc/Map.h]{push}(137) 8 bytes leak in adress 0x3dde64.
[inc/Map.h]{Pair}(38) 12 bytes leak in adress 0x3dde7c.
[inc/Map.h]{Pair}(44) 12 bytes leak in adress 0x3dde94.
[inc/List.h]{append}(437) 12 bytes leak in adress 0x3ddeac.
[inc/Array.h]{reserve}(186) 11 bytes leak in adress 0x3ddec0.
[inc/Map.h]{Pair}(38) 12 bytes leak in adress 0x3ddedc.
[inc/Map.h]{Pair}(44) 12 bytes leak in adress 0x3ddef4.
[inc/Array.h]{reserve}(186) 12 bytes leak in adress 0x3ddf08.
[inc/List.h]{append}(437) 12 bytes leak in adress 0x3ddf24.
[inc/Map.h]{push}(137) 8 bytes leak in adress 0x3ddf3c.
[inc/Map.h]{Pair}(38) 12 bytes leak in adress 0x3ddf54.
[inc/Map.h]{Pair}(44) 12 bytes leak in adress 0x3ddf6c.
[inc/Array.h]{reserve}(186) 11 bytes leak in adress 0x3ddf80.
[inc/List.h]{append}(437) 12 bytes leak in adress 0x3ddf9c.
[inc/Map.h]{push}(137) 8 bytes leak in adress 0x3ddfcc.
[inc/Map.h]{Pair}(38) 12 bytes leak in adress 0x3ddfe4.
[inc/Map.h]{Pair}(39) 20 bytes leak in adress 0x3de064.
[inc/Map.h]{Pair}(39) 20 bytes leak in adress 0x3de1a4.
[inc/Map.h]{Pair}(39) 20 bytes leak in adress 0x3de744.
